student_id,assignment1_grade,assignment1_submission,assignment2_grade,assignment2_submission,assignment3_grade,assignment3_submission,assignment4_grade,assignment4_submission,assignment5_grade,assignment5_submission,assignment6_grade,assignment6_submission
B73F2C11-70F0-E37D-8B10-1D20AFED50B1,92.73394640624123,2015-11-02 06:55:34.282000000,83.03055176561709,2015-11-09 02:22:58.938000000,67.16444141249367,2015-11-12 08:58:33.998000000,53.01155312999494,2015-11-16 01:21:24.663000000,47.710397816995446,2015-11-20 13:24:59.692000000,38.16831825359636,2015-11-22 18:31:15.934000000
98A0FAE0-A19A-13D2-4BB5-CFBFD94031D1,86.79082085792986,2015-11-29 14:57:44.429000000,86.29082085792986,2015-12-06 17:41:18.449000000,69.7726566863439,2015-12-10 08:54:55.904000000,55.0981253490751,2015-12-13 17:32:30.941000000,49.5883128141676,2015-12-19 23:26:39.285000000,44.62948153275085,2015-12-21 17:07:24.275000000
D0F62040-CEB0-904C-F563-2F8620916C4E,85.51254106831485,2016-01-09 05:36:02.389000000,85.51254106831485,2016-01-09 06:39:44.416000000,68.41003285465187,2016-01-15 20:22:45.882000000,54.728026283721505,2016-01-11 12:41:50.749000000,49.25522365534936,2016-01-11 17:31:12.489000000,44.32970128981442,2016-01-17 16:24:42.765000000
FFDF2B2C-F514-EF7F-6538-A6A53518E9DC,86.0306649611247,2016-04-30 06:50:39.801000000,68.82453196889976,2016-04-30 17:20:38.727000000,61.942078772009786,2016-05-12 07:47:16.326000000,49.55366301760783,2016-05-07 16:09:20.485000000,49.55366301760783,2016-05-24 12:51:18.016000000,44.598296715847034,2016-05-26 08:09:12.058000000
5ECBEEB6-F1CE-80AE-3164-E45E99473FB4,64.81380013206879,2015-12-13 17:06:10.750000000,51.49104010565505,2015-12-14 12:25:12.056000000,41.93283208452404,2015-12-29 14:25:22.594000000,36.92954887607164,2015-12-28 01:29:55.901000000,33.23659398846447,2015-12-29 14:46:06.628000000,33.23659398846447,2016-01-05 01:06:59.546000000
D09000A0-827B-C0FF-3433-BF8FF286E15B,71.64727753486964,2015-12-28 04:35:32.836000000,64.05254978138268,2016-01-03 21:05:38.392000000,64.75254978138267,2016-01-07 08:55:43.692000000,57.46729480324442,2016-01-11 00:45:28.706000000,57.46729480324442,2016-01-11 00:54:13.579000000,57.46729480324442,2016-01-20 19:54:46.166000000
3217BE3F-E4B0-C3B6-9F64-462456819CE4,87.49874382216429,2016-03-05 11:05:25.408000000,69.99899505773143,2016-03-09 07:29:52.405000000,55.99919604618515,2016-03-16 22:31:24.316000000,50.39927644156664,2016-03-18 07:19:26.032000000,45.35934879740997,2016-03-19 10:35:41.869000000,45.35934879740997,2016-03-23 14:02:00.987000000
F1CB5AA1-B3DE-5460-FAFF-BE951FD38B5F,80.57608997955063,2016-01-24 18:24:25.619000000,72.51848098159556,2016-01-27 13:37:12.943000000,65.266632883436,2016-01-30 14:34:36.581000000,65.266632883436,2016-02-03 22:08:49.002000000,65.266632883436,2016-02-16 14:22:23.664000000,65.266632883436,2016-02-18 08:35:04.796000000
C9D51293-BD58-F113-4167-A7C0BAFCB6E5,66.59556796400926,2015-12-25 02:29:28.415000000,52.916454371207415,2015-12-31 01:42:30.046000000,48.34480893408668,2016-01-05 23:34:02.180000000,47.44480893408667,2016-01-02 07:48:42.517000000,37.95584714726935,2016-01-03 21:27:04.266000000,37.95584714726935,2016-01-19 15:24:31.060000000
E2C617C2-4654-622C-AB50-1550C4BE42A0,59.27088238727477,2016-03-06 12:06:26.185000000,59.27088238727477,2016-03-13 02:07:25.289000000,53.34379414854729,2016-03-17 07:30:09.241000000,53.34379414854729,2016-03-20 21:45:56.229000000,42.67503531883784,2016-03-27 15:55:04.414000000,38.407531786954046,2016-03-30 20:33:13.554000000
